"General Information","Algemene informatie"
"General","Algemeen"
"Active","Actief"
"Add new Page","Nieuwe pagina toevoegen"
"LandingPage management","LandingPage beheer"
"Url path","Url pad"
"Active","Actief"
"Edit Page %1","Pagina Bewerken %s"
"New Page","Nieuwe Pagina"
"This Page no longer exists.","Deze pagina bestaat niet meer."
"You saved the Page.","De pagina is opgeslagen."
"Something went wrong while saving the Page.","Er ging iets fout bij het opslaan van de pagina."
"You deleted the Page.","Je hebt de pagina verwijderd."
"Overview page","Overzichtspagina"
"Select a page","Selecteer een pagina"
"Page not active","Pagina niet actief"
"Pages","Pagina's"
"Allow link in faceted search","Link in facetnavigatie toestaan"
"Specify canonical url if needed, if left empty it will fall back the page url.","Specificeer een canonical URL. Als deze leeg gelaten wordt dan is die gelijk aan de landingpage URL"